1,183.75,167,20.5,50,92.006
1,209.42,173.45,22.378,54.581,84.586
1,347.06,17.822,24.374,59.449,58.288
1,11.923,164.62,31.538,76.923,57.874
1,615.7,295.64,22.378,54.581,55.798
1,619.75,187,20.5,50,54.593
1,255.75,179,20.5,50,51.363
1,187.75,183,20.5,50,47.405
1,31,-4,82,200,32.893
1,213.92,134.12,28.917,70.528,20.422
1,146.26,162.35,28.917,70.528,19.953
1,269.15,169.95,26.574,64.814,19.396
1,234.14,139.3,34.371,83.831,14.222
1,608.85,250.77,31.538,76.923,12.943
2,209.42,173.45,22.378,54.581,84.545
2,9.2193,184.16,24.374,59.449,78.127
2,346.88,-1.2973,26.574,64.814,69.459
2,619.75,303,20.5,50,54.417
2,22.203,168,28.917,70.528,52.357
2,577.69,169.23,63.077,153.85,45.811
2,72.227,169.95,26.574,64.814,42.239
2,283.75,171,20.5,50,30.885
2,187.58,182.18,22.378,54.581,27.866
2,167.75,171,20.5,50,27.765
2,47.75,139,20.5,50,20.249
2,179.75,183,20.5,50,19.448
2,347.75,39,20.5,50,19.275
2,61.561,174.65,24.374,59.449,18.06
2,19.75,207,20.5,50,17.082
2,215,127.69,31.538,76.923,11.492
2,343.31,115.42,37.516,91.502,10.726
3,183.75,167,20.5,50,77.161
3,-0.2974,179.41,24.374,59.449,72.9
3,615.7,295.64,22.378,54.581,70.52
3,209.42,173.45,22.378,54.581,70.269
3,11.923,164.62,31.538,76.923,69.067
3,343.31,-1.8321,37.516,91.502,68.837
3,222.53,173.45,22.378,54.581,63.706
3,255.75,179,20.5,50,45.691
3,577.69,169.23,63.077,153.85,45.257
3,31,-4,82,200,40.187
3,163.75,163,20.5,50,37.652
3,77.409,169.95,26.574,64.814,33.673
3,61.862,169.95,26.574,64.814,24.036
3,481.31,203.48,107.29,261.69,20.759
3,118.87,169.95,26.574,64.814,17.814
3,353.58,182.18,22.378,54.581,17.482
3,167.75,175,20.5,50,16.706
4,183.75,167,20.5,50,99.175
4,5.2863,173.65,28.917,70.528,85.381
4,559,172,82,200,80.046
4,209.42,169.09,22.378,54.581,71.064
4,163.75,163,20.5,50,44.642
4,351.75,11,20.5,50,43.669
4,187.75,103,20.5,50,43.239
4,16.564,168,28.917,70.528,37.277
4,77.409,169.95,26.574,64.814,26.494
4,187.58,182.18,22.378,54.581,25.616
4,61.862,169.95,26.574,64.814,24.093
4,269.15,169.95,26.574,64.814,13.827
4,227.75,179,20.5,50,10.37
5,183.21,169.09,22.378,54.581,90.471
5,577.69,193.85,63.077,153.85,67.64
5,-0.32389,175.14,26.574,64.814,59.994
5,11.923,164.62,31.538,76.923,52.964
5,163.75,163,20.5,50,52.154
5,204.31,169.9,24.374,59.449,47.013
5,215.75,175,20.5,50,43.795
5,279.32,169.09,22.378,54.581,41.877
5,247.75,143,20.5,50,37.684
5,187.58,182.18,22.378,54.581,31.506
5,368.46,46.154,63.077,153.85,30.105
5,353.58,20.727,22.378,54.581,29.697
5,559.75,183,20.5,50,27.558
5,355.75,-1,20.5,50,25.834
5,56.68,169.95,26.574,64.814,23.228
5,608.85,29.231,31.538,76.923,20.308
6,619.75,247,20.5,50,88.979
6,191.75,171,20.5,50,85.982
6,171.75,167,20.5,50,76.437
6,-0.27304,186.55,22.378,54.581,54.685
6,213.83,174.65,24.374,59.449,54.59
6,602.72,152.73,34.371,83.831,48.494
6,608.85,275.38,31.538,76.923,48.362
6,619.75,211,20.5,50,38.59
6,362.69,10.769,31.538,76.923,37.621
6,36.114,93.435,37.516,91.502,34.321
6,283.69,173.45,22.378,54.581,20.926
6,61.674,168,28.917,70.528,14.455
7,395.75,3,20.5,50,78.362
7,211.75,167,20.5,50,78.129
7,-0.27304,190.91,22.378,54.581,59.052
7,191.75,179,20.5,50,58.71
7,236.48,168,28.917,70.528,49.853
7,93.403,159.44,34.371,83.831,45.753
7,231.75,103,20.5,50,39.373
7,307.85,152.73,34.371,83.831,32.835
7,207.75,179,20.5,50,27.626
7,191.75,159,20.5,50,27.179
7,502.12,238.91,22.378,54.581,27.114
7,85.769,10.769,31.538,76.923,26.238
7,103.75,39,20.5,50,25.043
7,392.9,20.727,22.378,54.581,19.751
7,527.75,243,20.5,50,7.4437
8,85.769,170.77,31.538,76.923,122.43
8,608.85,238.46,31.538,76.923,72.578
